Model,Gr.Code,lDDT
T1249v2TS286_1o,286,0.586
T1249v2TS221_1o,221,0.586
T1249v1TS380_5o,380,0.745
T1249v1TS145_5o,145s,0.745
T1249v1TS380_4o,380,0.755
T1249v1TS145_2o,145s,0.755
T1249v1TS091_4o,91,0.752
T1249v2TS286_2o,286,0.579
T1249v2TS419_2o,419,0.579
T1249v2TS221_2o,221,0.579
T1249v2TS380_5o,380,0.745
T1249v2TS145_5o,145s,0.745
T1249v2TS380_4o,380,0.755
T1249v2TS145_2o,145s,0.755
T1249v2TS221_5o,221,0.581
T1249v2TS419_5o,419,0.581
T1249v2TS262_5o,262,0.507
T1249v1TS311_1o,311,0.757
T1249v2TS311_1o,311,0.757
T1249v1TS261_1o,261,0.715
T1249v1TS163_1o,163s,0.751
T1249v2TS163_1o,163s,0.751
T1249v2TS117_5o,117,0.619
T1249v1TS286_2o,286,0.602
T1249v1TS221_2o,221,0.602
T1249v1TS419_2o,419,0.602
T1249v2TS117_4o,117,0.622
T1249v2TS262_1o,262,0.509
T1249v1TS489_3o,489,0.548
T1249v2TS286_3o,286,0.572
T1249v2TS261_5o,261,0.714
T1249v2TS419_3o,419,0.572
T1249v2TS221_3o,221,0.572
T1249v1TS261_5o,261,0.715
T1249v2TS204_1o,204,0.752
T1249v2TS287_4o,287,0.753
T1249v1TS261_2o,261,0.712
T1249v1TS261_4o,261,0.712
T1249v2TS323_1o,323,0.755
T1249v2TS261_3o,261,0.713
T1249v2TS262_3o,262,0.506
T1249v1TS314_2o,314s,0.758
T1249v1TS261_3o,261,0.716
T1249v1TS489_5o,489,0.544
T1249v2TS261_2o,261,0.712
T1249v2TS198_3o,198s,0.74
T1249v1TS380_1o,380,0.745
T1249v1TS145_4o,145s,0.745
T1249v2TS164_1o,164,0.762
T1249v1TS489_4o,489,0.533
T1249v2TS164_3o,164,0.76
T1249v1TS198_3o,198s,0.74
T1249v2TS345_3o,345,0.755
T1249v2TS425_5o,425s,0.755
T1249v2TS319_5o,319s,0.755
T1249v2TS331_5o,331s,0.755
T1249v1TS331_2o,331s,0.755
T1249v2TS051_3o,51,0.755
T1249v1TS345_1o,345,0.755
T1249v1TS319_2o,319s,0.755
T1249v1TS051_1o,51,0.755
T1249v1TS425_1o,425s,0.755
T1249v2TS164_2o,164,0.763
T1249v2TS393_3o,393,0.757
T1249v2TS261_1o,261,0.717
T1249v2TS380_1o,380,0.745
T1249v2TS145_4o,145s,0.745
T1249v2TS198_5o,198s,0.743
T1249v1TS274_3o,274,0.734
T1249v2TS261_4o,261,0.717
T1249v2TS322_3o,322,0.731
T1249v2TS219_3o,219s,0.731
T1249v1TS219_1o,219s,0.731
T1249v1TS322_1o,322,0.731
T1249v2TS241_3o,241,0.744
T1249v2TS393_2o,393,0.741
T1249v1TS241_4o,241,0.752
T1249v2TS110_3o,110s,0.744
T1249v1TS274_2o,274,0.735
T1249v2TS040_4o,40,0.685
T1249v2TS494_5o,494,0.747
T1249v1TS494_2o,494,0.747
T1249v1TS494_5o,494,0.747
T1249v2TS494_2o,494,0.747
T1249v1TS198_4o,198s,0.738
T1249v1TS052_4o,052s,0.751
T1249v1TS022_4o,22,0.751
T1249v1TS456_4o,456s,0.751
T1249v2TS052_4o,052s,0.751
T1249v1TS287_4o,287,0.76
T1249v2TS267_4o,267s,0.629
T1249v1TS274_1o,274,0.727
T1249v2TS274_5o,274,0.727
T1249v2TS040_2o,40,0.686
T1249v2TS040_5o,40,0.684
T1249v2TS274_3o,274,0.727
T1249v2TS075_4o,075s,0.745
T1249v2TS475_4o,475s,0.745
T1249v2TS284_4o,284s,0.745
T1249v2TS122_1o,122s,0.745
T1249v2TS314_1o,314s,0.745
T1249v2TS059_4o,59,0.654
T1249v2TS304_3o,304s,0.753
T1249v2TS380_2o,380,0.733
T1249v2TS145_3o,145s,0.733
T1249v2TS040_1o,40,0.684
T1249v1TS380_2o,380,0.735
T1249v1TS145_3o,145s,0.735
T1249v1TS425_2o,425s,0.743
T1249v1TS015_4o,15,0.633
T1249v2TS319_4o,319s,0.743
T1249v2TS425_4o,425s,0.743
T1249v2TS331_4o,331s,0.743
T1249v1TS319_1o,319s,0.743
T1249v2TS015_4o,15,0.633
T1249v1TS331_1o,331s,0.743
T1249v1TS314_1o,314s,0.749
T1249v1TS304_3o,304s,0.749
T1249v1TS304_5o,304s,0.739
T1249v2TS314_3o,314s,0.742
T1249v2TS163_2o,163s,0.744
T1249v1TS163_2o,163s,0.744
T1249v2TS167_3o,167,0.731
T1249v2TS450_3o,450s,0.731
T1249v1TS331_3o,331s,0.752
T1249v2TS304_1o,304s,0.759
T1249v1TS425_3o,425s,0.752
T1249v1TS319_3o,319s,0.752
T1249v2TS450_4o,450s,0.733
T1249v2TS167_4o,167,0.733
T1249v2TS369_4o,369,0.738
T1249v1TS369_4o,369,0.738
T1249v2TS208_1o,208s,0.754
T1249v2TS117_3o,117,0.611
T1249v2TS304_5o,304s,0.746
T1249v2TS494_3o,494,0.705
T1249v1TS494_3o,494,0.705
T1249v2TS262_2o,262,0.608
T1249v1TS304_4o,304s,0.74
T1249v2TS198_1o,198s,0.737
T1249v2TS456_1o,456s,0.739
T1249v1TS022_2o,22,0.739
T1249v1TS393_1o,393,0.735
T1249v1TS287_1o,287,0.742
T1249v2TS022_2o,22,0.739
T1249v1TS494_1o,494,0.743
T1249v1TS290_4o,290,0.74
T1249v2TS494_1o,494,0.743
T1249v1TS167_4o,167,0.747
T1249v1TS274_4o,274,0.73
T1249v1TS204_4o,204,0.73
T1249v1TS163_4o,163s,0.745
T1249v1TS450_4o,450s,0.747
T1249v2TS163_4o,163s,0.745
T1249v2TS262_4o,262,0.605
T1249v1TS450_5o,450s,0.751
T1249v2TS198_4o,198s,0.737
T1249v1TS167_5o,167,0.751
T1249v1TS198_1o,198s,0.742
T1249v1TS272_2o,272,0.749
T1249v1TS023_3o,23,0.158
T1249v2TS023_3o,23,0.158
T1249v2TS272_1o,272,0.744
T1249v2TS272_2o,272,0.744
T1249v1TS323_1o,323,0.473
T1249v1TS314_3o,314s,0.737
T1249v1TS117_2o,117,0.407
T1249v1TS272_1o,272,0.743
T1249v1TS294_3o,294,0.473
T1249v1TS117_1o,117,0.369
T1249v1TS114_5o,114s,0.174
T1249v2TS114_5o,114s,0.174
T1249v2TS274_4o,274,0.721
T1249v1TS489_2o,489,0.485
T1249v2TS465_5o,465,0.532
T1249v2TS114_4o,114s,0.178
T1249v1TS114_4o,114s,0.178
T1249v2TS489_3o,489,0.513
T1249v1TS117_3o,117,0.408
T1249v1TS300_4o,300s,0.165
T1249v2TS300_4o,300s,0.165
T1249v2TS114_3o,114s,0.173
T1249v1TS114_3o,114s,0.173
T1249v1TS337_1o,337s,0.173
T1249v1TS337_4o,337s,0.151
T1249v1TS300_2o,300s,0.162
T1249v2TS337_4o,337s,0.151
T1249v2TS300_2o,300s,0.162
T1249v2TS337_1o,337s,0.173
T1249v1TS300_3o,300s,0.161
T1249v1TS300_5o,300s,0.15
T1249v2TS300_5o,300s,0.15
T1249v2TS114_2o,114s,0.161
T1249v2TS300_3o,300s,0.161
T1249v2TS337_2o,337s,0.151
T1249v1TS114_2o,114s,0.161
T1249v2TS337_5o,337s,0.152
T1249v1TS337_5o,337s,0.152
T1249v1TS337_2o,337s,0.151
T1249v1TS314_4o,314s,0.739
T1249v2TS274_2o,274,0.715
T1249v1TS147_4o,147s,0.734
T1249v2TS196_5o,196,0.493
T1249v1TS147_3o,147s,0.727
T1249v1TS337_3o,337s,0.15
T1249v1TS139_3o,139,0.394
T1249v1TS147_2o,147s,0.724
T1249v1TS148_5o,148s,0.73
T1249v1TS294_2o,294,0.728
T1249v1TS147_1o,147s,0.742
T1249v1TS139_5o,139,0.396
T1249v1TS139_4o,139,0.217
T1249v1TS139_2o,139,0.219
T1249v1TS139_1o,139,0.389
T1249v1TS122_5o,122s,0.732
T1249v1TS122_4o,122s,0.73
T1249v1TS122_3o,122s,0.732
