Group,Group_Name,Combined_Score,Best_v1_ref,V1_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v1_ModelNumber
TS456,Yang-Multimer,63.66065030295349,63.66065030295349,TS456_v1_5,63.66065030295349,v1_v1,63.66065030295349,5
TS269,CSSB_server,63.656154247084686,63.656154247084686,TS269_v1_3,63.656154247084686,v1_v1,63.656154247084686,3
TS059,DeepFold,62.48705248714316,62.48705248714316,TS059_v1_6,62.48705248714316,v1_v1,62.48705248714316,6
TS204,Zou,62.00671785550228,62.00671785550228,TS204_v1_1,62.00671785550228,v1_v1,62.00671785550228,1
TS262,CoDock,61.916423848475205,61.916423848475205,TS262_v1_3,61.916423848475205,v1_v1,61.916423848475205,3
TS461,forlilab,61.64039142970768,61.64039142970768,TS461_v1_2,61.64039142970768,v1_v1,61.64039142970768,2
TS286,CSSB_experimental,60.776429165576694,60.776429165576694,TS286_v1_2,60.776429165576694,v1_v1,60.776429165576694,2
TS039,arosko,60.24629529718391,60.24629529718391,TS039_v1_3,60.24629529718391,v1_v1,60.24629529718391,3
TS040,DELCLAB,58.04540676335979,58.04540676335979,TS040_v1_5,58.04540676335979,v1_v1,58.04540676335979,5
TS361,Cerebra_server,58.04416930570433,58.04416930570433,TS361_v1_1,58.04416930570433,v1_v1,58.04416930570433,1
TS274,kozakovvajda,57.81294164300847,57.81294164300847,TS274_v1_1,57.81294164300847,v1_v1,57.81294164300847,1
TS494,ClusPro,57.81294164300847,57.81294164300847,TS494_v1_1,57.81294164300847,v1_v1,57.81294164300847,1
TS132,profold2,37.736902992338834,37.736902992338834,TS132_v1_1,37.736902992338834,v1_v1,37.736902992338834,1
