Model,Group,Model Number,GDT_TS
T1249v2TS208_4,TS208,4,0.667
T1249v2TS219_3,TS219,3,0.667
T1249v2TS322_3,TS322,3,0.667
T1249v1TS091_2,TS091,2,0.665
T1249v1TS456_5,TS456,5,0.665
T1249v2TS456_5,TS456,5,0.665
T1249v2TS164_2,TS164,2,0.664
T1249v2TS314_4,TS314,4,0.664
T1249v1TS008_3,TS008,3,0.662
T1249v2TS164_1,TS164,1,0.661
T1249v2TS008_5,TS008,5,0.66
T1249v2TS091_3,TS091,3,0.66
T1249v2TS164_3,TS164,3,0.66
T1249v1TS059_5,TS059,5,0.659
T1249v1TS163_5,TS163,5,0.657
T1249v2TS163_5,TS163,5,0.657
T1249v1TS375_2,TS375,2,0.656
T1249v1TS219_4,TS219,4,0.654
T1249v1TS322_4,TS322,4,0.654
T1249v2TS052_1,TS052,1,0.654
T1249v2TS219_1,TS219,1,0.654
T1249v2TS287_3,TS287,3,0.654
T1249v2TS322_1,TS322,1,0.654
T1249v1TS393_4,TS393,4,0.653
T1249v1TS163_2,TS163,2,0.652
T1249v2TS163_2,TS163,2,0.652
T1249v1TS198_5,TS198,5,0.651
T1249v1TS219_2,TS219,2,0.65
T1249v1TS322_2,TS322,2,0.65
T1249v2TS219_4,TS219,4,0.65
T1249v2TS322_4,TS322,4,0.65
T1249v1TS167_3,TS167,3,0.649
T1249v1TS450_3,TS450,3,0.649
T1249v2TS287_2,TS287,2,0.649
T1249v1TS462_6,TS462,6,0.648
T1249v2TS462_6,TS462,6,0.648
T1249v2TS304_2,TS304,2,0.645
T1249v1TS198_1,TS198,1,0.644
T1249v1TS267_2,TS267,2,0.644
T1249v1TS163_4,TS163,4,0.643
T1249v2TS163_4,TS163,4,0.643
T1249v1TS145_4,TS145,4,0.641
T1249v1TS380_1,TS380,1,0.641
T1249v2TS145_4,TS145,4,0.641
T1249v2TS380_1,TS380,1,0.641
T1249v1TS287_5,TS287,5,0.637
T1249v1TS008_5,TS008,5,0.636
T1249v2TS167_1,TS167,1,0.635
T1249v2TS450_1,TS450,1,0.635
T1249v2TS028_5,TS028,5,0.634
T1249v2TS147_2,TS147,2,0.634
T1249v2TS393_3,TS393,3,0.634
T1249v2TS462_2,TS462,2,0.634
T1249v2TS164_4,TS164,4,0.632
T1249v1TS287_4,TS287,4,0.627
T1249v2TS204_1,TS204,1,0.624
T1249v1TS241_2,TS241,2,0.621
T1249v1TS241_4,TS241,4,0.621
T1249v2TS028_2,TS028,2,0.621
T1249v2TS147_4,TS147,4,0.621
T1249v2TS462_4,TS462,4,0.621
T1249v1TS274_3,TS274,3,0.62
T1249v2TS110_2,TS110,2,0.618
T1249v1TS314_2,TS314,2,0.616
T1249v2TS287_5,TS287,5,0.616
T1249v1TS091_1,TS091,1,0.615
T1249v1TS241_5,TS241,5,0.613
T1249v1TS198_4,TS198,4,0.611
T1249v1TS272_3,TS272,3,0.608
T1249v2TS198_5,TS198,5,0.607
T1249v1TS051_1,TS051,1,0.606
T1249v1TS319_2,TS319,2,0.606
T1249v1TS331_2,TS331,2,0.606
T1249v1TS345_1,TS345,1,0.606
T1249v1TS425_1,TS425,1,0.606
T1249v2TS051_3,TS051,3,0.606
T1249v2TS117_2,TS117,2,0.606
T1249v2TS319_5,TS319,5,0.606
T1249v2TS331_5,TS331,5,0.606
T1249v2TS345_3,TS345,3,0.606
T1249v2TS425_5,TS425,5,0.606
T1249v1TS274_2,TS274,2,0.604
T1249v2TS198_1,TS198,1,0.603
T1249v2TS198_4,TS198,4,0.603
T1249v2TS117_1,TS117,1,0.602
T1249v2TS198_3,TS198,3,0.6
T1249v1TS198_3,TS198,3,0.599
T1249v1TS319_3,TS319,3,0.598
T1249v1TS331_3,TS331,3,0.598
T1249v1TS425_3,TS425,3,0.598
T1249v2TS323_1,TS323,1,0.596
T1249v2TS241_3,TS241,3,0.595
T1249v1TS274_4,TS274,4,0.593
T1249v2TS167_3,TS167,3,0.593
T1249v2TS450_3,TS450,3,0.593
T1249v2TS145_5,TS145,5,0.592
T1249v2TS380_5,TS380,5,0.592
T1249v1TS145_5,TS145,5,0.59
T1249v1TS380_5,TS380,5,0.59
T1249v2TS148_5,TS148,5,0.59
T1249v2TS264_5,TS264,5,0.59
T1249v2TS312_5,TS312,5,0.59
T1249v1TS319_1,TS319,1,0.585
T1249v1TS331_1,TS331,1,0.585
T1249v1TS425_2,TS425,2,0.585
T1249v2TS319_4,TS319,4,0.585
T1249v2TS331_4,TS331,4,0.585
T1249v2TS425_4,TS425,4,0.585
T1249v1TS261_2,TS261,2,0.584
T1249v1TS022_4,TS022,4,0.583
T1249v1TS052_4,TS052,4,0.583
T1249v1TS456_4,TS456,4,0.583
T1249v2TS052_4,TS052,4,0.583
T1249v2TS261_4,TS261,4,0.583
T1249v1TS261_1,TS261,1,0.582
T1249v2TS261_1,TS261,1,0.582
T1249v1TS261_4,TS261,4,0.581
T1249v2TS261_3,TS261,3,0.581
T1249v1TS261_3,TS261,3,0.58
T1249v2TS261_2,TS261,2,0.58
T1249v1TS261_5,TS261,5,0.578
T1249v1TS494_1,TS494,1,0.577
T1249v2TS261_5,TS261,5,0.577
T1249v2TS274_3,TS274,3,0.577
T1249v2TS274_4,TS274,4,0.577
T1249v2TS494_1,TS494,1,0.577
T1249v2TS393_5,TS393,5,0.576
T1249v1TS145_3,TS145,3,0.57
T1249v1TS380_2,TS380,2,0.57
T1249v2TS145_3,TS145,3,0.57
T1249v2TS380_2,TS380,2,0.57
T1249v2TS208_1,TS208,1,0.568
T1249v1TS494_2,TS494,2,0.562
T1249v1TS494_5,TS494,5,0.562
T1249v2TS494_2,TS494,2,0.562
T1249v1TS274_1,TS274,1,0.559
T1249v2TS267_5,TS267,5,0.557
T1249v2TS167_4,TS167,4,0.553
T1249v2TS450_4,TS450,4,0.553
T1249v1TS167_4,TS167,4,0.552
T1249v1TS450_4,TS450,4,0.552
T1249v1TS167_5,TS167,5,0.543
T1249v1TS450_5,TS450,5,0.543
T1249v1TS274_5,TS274,5,0.54
T1249v2TS208_2,TS208,2,0.54
T1249v2TS221_1,TS221,1,0.539
T1249v2TS286_1,TS286,1,0.539
T1249v2TS419_1,TS419,1,0.539
T1249v2TS110_3,TS110,3,0.538
T1249v1TS314_1,TS314,1,0.536
T1249v1TS287_3,TS287,3,0.524
T1249v2TS393_2,TS393,2,0.524
T1249v2TS059_4,TS059,4,0.523
T1249v1TS272_1,TS272,1,0.522
T1249v1TS290_2,TS290,2,0.518
T1249v1TS208_5,TS208,5,0.516
T1249v1TS375_5,TS375,5,0.516
T1249v2TS040_4,TS040,4,0.516
T1249v2TS375_5,TS375,5,0.515
T1249v2TS221_5,TS221,5,0.511
T1249v2TS419_5,TS419,5,0.511
T1249v2TS040_5,TS040,5,0.51
T1249v1TS456_3,TS456,3,0.509
T1249v2TS456_3,TS456,3,0.509
T1249v1TS008_2,TS008,2,0.508
T1249v2TS040_2,TS040,2,0.508
T1249v1TS204_2,TS204,2,0.506
T1249v1TS015_4,TS015,4,0.503
T1249v2TS015_4,TS015,4,0.503
T1249v2TS221_3,TS221,3,0.499
T1249v2TS286_3,TS286,3,0.499
T1249v2TS419_3,TS419,3,0.499
T1249v2TS040_1,TS040,1,0.496
T1249v2TS274_2,TS274,2,0.496
T1249v1TS221_1,TS221,1,0.495
T1249v1TS286_1,TS286,1,0.495
T1249v1TS419_1,TS419,1,0.495
T1249v1TS221_3,TS221,3,0.494
T1249v1TS286_3,TS286,3,0.494
T1249v1TS419_3,TS419,3,0.494
T1249v2TS221_2,TS221,2,0.494
T1249v2TS286_2,TS286,2,0.494
T1249v2TS419_2,TS419,2,0.494
T1249v1TS221_4,TS221,4,0.493
T1249v1TS419_4,TS419,4,0.493
T1249v1TS022_2,TS022,2,0.491
T1249v2TS022_2,TS022,2,0.491
T1249v2TS456_1,TS456,1,0.491
T1249v1TS164_5,TS164,5,0.49
T1249v1TS314_5,TS314,5,0.489
T1249v2TS221_4,TS221,4,0.488
T1249v2TS419_4,TS419,4,0.488
T1249v2TS393_6,TS393,6,0.487
T1249v1TS167_2,TS167,2,0.485
T1249v1TS450_2,TS450,2,0.485
T1249v1TS164_2,TS164,2,0.483
T1249v1TS164_4,TS164,4,0.481
T1249v2TS117_5,TS117,5,0.477
T1249v1TS287_1,TS287,1,0.476
T1249v2TS287_4,TS287,4,0.476
T1249v1TS164_1,TS164,1,0.473
T1249v1TS314_4,TS314,4,0.473
T1249v1TS290_4,TS290,4,0.472
T1249v2TS314_1,TS314,1,0.471
T1249v1TS164_3,TS164,3,0.465
T1249v2TS264_6,TS264,6,0.465
T1249v1TS369_4,TS369,4,0.464
T1249v2TS369_4,TS369,4,0.464
T1249v2TS304_3,TS304,3,0.463
T1249v1TS221_2,TS221,2,0.457
T1249v1TS286_2,TS286,2,0.457
T1249v1TS419_2,TS419,2,0.457
T1249v1TS314_3,TS314,3,0.45
T1249v2TS117_4,TS117,4,0.45
T1249v2TS304_1,TS304,1,0.448
