Model,Group,Model Version,Model Number,Composite_Score_2
T1214TS091_5,TS091,v1,5,57.53649185841568
T1214TS494_4,TS494,v1,4,57.48450652355898
T1214TS274_4,TS274,v1,4,57.48450652355898
T1214TS139_5,TS139,v1,5,55.36897076667502
T1214TS167_5,TS167,v1,5,55.278758151829365
T1214TS139_1,TS139,v1,1,55.26302881911543
T1214TS139_4,TS139,v1,4,54.8290267689577
T1214TS139_2,TS139,v1,2,54.56680805327949
T1214TS461_4,TS461,v1,4,54.176268077450814
T1214TS361_3,TS361,v1,3,54.03855080529547
T1214TS361_2,TS361,v1,2,53.741242658501704
T1214TS167_3,TS167,v1,3,53.03876587091657
T1214TS361_4,TS361,v1,4,52.15410071068867
T1214TS361_5,TS361,v1,5,52.093099927798235
T1214TS450_1,TS450,v1,1,51.71051424695743
T1214TS461_3,TS461,v1,3,51.567842692417656
T1214TS450_3,TS450,v1,3,51.46466963369666
T1214TS461_5,TS461,v1,5,50.44214657821552
T1214TS450_4,TS450,v1,4,50.03465930856825
T1214TS450_2,TS450,v1,2,49.19462006318352
T1214TS167_4,TS167,v1,4,49.19462006318352
T1214TS167_1,TS167,v1,1,48.13667350149649
T1214TS132_1,TS132,v1,1,37.736902992338834
T1214TS461_1,TS461,v1,1,31.702728139077866
