Model,Group,Model Number,Model Version,GDT_TS
T1249v1TS014_3,TS014,3,v1,0.506
T1249v1TS311_4,TS311,4,v1,0.506
T1249v1TS423_3,TS423,3,v1,0.506
T1249v2TS208_1,TS208,1,v2,0.506
T1249v2TS311_4,TS311,4,v2,0.506
T1249v1TS301_2,TS301,2,v1,0.505
T1249v1TS423_1,TS423,1,v1,0.505
T1249v1TS423_2,TS423,2,v1,0.505
T1249v2TS110_5,TS110,5,v2,0.505
T1249v1TS051_6,TS051,6,v1,0.504
T1249v2TS051_6,TS051,6,v2,0.504
T1249v2TS198_1,TS198,1,v2,0.504
T1249v2TS204_3,TS204,3,v2,0.504
T1249v2TS301_4,TS301,4,v2,0.504
T1249v2TS423_5,TS423,5,v2,0.504
T1249v1TS301_1,TS301,1,v1,0.503
T1249v1TS423_5,TS423,5,v1,0.503
T1249v1TS015_2,TS015,2,v1,0.502
T1249v1TS052_5,TS052,5,v1,0.502
T1249v1TS241_5,TS241,5,v1,0.502
T1249v1TS375_2,TS375,2,v1,0.502
T1249v2TS015_1,TS015,1,v2,0.502
T1249v2TS052_5,TS052,5,v2,0.502
T1249v2TS272_1,TS272,1,v2,0.502
T1249v2TS272_2,TS272,2,v2,0.502
T1249v2TS110_2,TS110,2,v2,0.501
T1249v2TS148_2,TS148,2,v2,0.501
T1249v2TS264_2,TS264,2,v2,0.501
T1249v2TS290_5,TS290,5,v2,0.501
T1249v2TS312_2,TS312,2,v2,0.501
T1249v2TS423_1,TS423,1,v2,0.501
T1249v1TS167_4,TS167,4,v1,0.5
T1249v1TS450_4,TS450,4,v1,0.5
T1249v2TS079_1,TS079,1,v2,0.5
T1249v2TS079_3,TS079,3,v2,0.5
T1249v2TS293_1,TS293,1,v2,0.5
T1249v2TS293_3,TS293,3,v2,0.5
T1249v2TS148_1,TS148,1,v2,0.499
T1249v2TS264_1,TS264,1,v2,0.499
T1249v2TS312_1,TS312,1,v2,0.499
T1249v1TS022_3,TS022,3,v1,0.498
T1249v1TS051_1,TS051,1,v1,0.498
T1249v1TS052_3,TS052,3,v1,0.498
T1249v1TS091_5,TS091,5,v1,0.498
T1249v1TS241_2,TS241,2,v1,0.498
T1249v1TS274_5,TS274,5,v1,0.498
T1249v1TS319_2,TS319,2,v1,0.498
T1249v1TS331_2,TS331,2,v1,0.498
T1249v1TS345_1,TS345,1,v1,0.498
T1249v1TS425_1,TS425,1,v1,0.498
T1249v2TS022_3,TS022,3,v2,0.498
T1249v2TS051_3,TS051,3,v2,0.498
T1249v2TS052_3,TS052,3,v2,0.498
T1249v2TS110_3,TS110,3,v2,0.498
T1249v2TS319_5,TS319,5,v2,0.498
T1249v2TS331_5,TS331,5,v2,0.498
T1249v2TS345_3,TS345,3,v2,0.498
T1249v2TS425_5,TS425,5,v2,0.498
T1249v1TS051_3,TS051,3,v1,0.497
T1249v1TS198_1,TS198,1,v1,0.497
T1249v2TS051_4,TS051,4,v2,0.497
T1249v2TS059_3,TS059,3,v2,0.497
T1249v1TS051_5,TS051,5,v1,0.496
T1249v1TS319_4,TS319,4,v1,0.496
T1249v1TS331_4,TS331,4,v1,0.496
T1249v1TS425_4,TS425,4,v1,0.496
T1249v2TS051_5,TS051,5,v2,0.496
T1249v2TS167_1,TS167,1,v2,0.496
T1249v2TS319_1,TS319,1,v2,0.496
T1249v2TS331_1,TS331,1,v2,0.496
T1249v2TS345_4,TS345,4,v2,0.496
T1249v2TS425_1,TS425,1,v2,0.496
T1249v2TS450_1,TS450,1,v2,0.496
T1249v1TS219_3,TS219,3,v1,0.495
T1249v1TS301_5,TS301,5,v1,0.495
T1249v1TS322_3,TS322,3,v1,0.495
T1249v1TS345_3,TS345,3,v1,0.495
T1249v1TS494_2,TS494,2,v1,0.495
T1249v1TS494_5,TS494,5,v1,0.495
T1249v2TS117_2,TS117,2,v2,0.495
T1249v2TS147_5,TS147,5,v2,0.495
T1249v2TS208_4,TS208,4,v2,0.495
T1249v2TS219_2,TS219,2,v2,0.495
T1249v2TS319_3,TS319,3,v2,0.495
T1249v2TS322_2,TS322,2,v2,0.495
T1249v2TS331_3,TS331,3,v2,0.495
T1249v2TS425_3,TS425,3,v2,0.495
T1249v2TS462_5,TS462,5,v2,0.495
T1249v2TS494_2,TS494,2,v2,0.495
T1249v2TS494_5,TS494,5,v2,0.495
T1249v1TS241_4,TS241,4,v1,0.494
T1249v1TS274_2,TS274,2,v1,0.494
T1249v1TS456_1,TS456,1,v1,0.493
T1249v2TS456_4,TS456,4,v2,0.493
T1249v1TS274_1,TS274,1,v1,0.492
T1249v1TS051_4,TS051,4,v1,0.491
T1249v1TS219_1,TS219,1,v1,0.491
T1249v1TS322_1,TS322,1,v1,0.491
T1249v2TS219_3,TS219,3,v2,0.491
T1249v2TS322_3,TS322,3,v2,0.491
T1249v1TS059_6,TS059,6,v1,0.49
T1249v2TS028_5,TS028,5,v2,0.49
T1249v2TS147_2,TS147,2,v2,0.49
T1249v2TS462_2,TS462,2,v2,0.49
T1249v1TS274_3,TS274,3,v1,0.489
T1249v1TS319_3,TS319,3,v1,0.489
T1249v1TS331_3,TS331,3,v1,0.489
T1249v1TS425_3,TS425,3,v1,0.489
T1249v1TS375_5,TS375,5,v1,0.487
T1249v1TS287_5,TS287,5,v1,0.485
T1249v2TS393_3,TS393,3,v2,0.485
T1249v1TS345_4,TS345,4,v1,0.484
T1249v2TS051_1,TS051,1,v2,0.484
T1249v2TS345_1,TS345,1,v2,0.484
T1249v1TS287_3,TS287,3,v1,0.481
T1249v2TS274_1,TS274,1,v2,0.48
T1249v2TS304_4,TS304,4,v2,0.48
T1249v1TS290_2,TS290,2,v1,0.479
T1249v2TS164_5,TS164,5,v2,0.477
T1249v1TS287_4,TS287,4,v1,0.476
T1249v2TS117_1,TS117,1,v2,0.474
T1249v1TS319_1,TS319,1,v1,0.472
T1249v1TS331_1,TS331,1,v1,0.472
T1249v1TS425_2,TS425,2,v1,0.472
T1249v2TS319_4,TS319,4,v2,0.472
T1249v2TS331_4,TS331,4,v2,0.472
T1249v2TS425_4,TS425,4,v2,0.472
T1249v1TS059_1,TS059,1,v1,0.471
T1249v1TS314_2,TS314,2,v1,0.471
T1249v2TS208_2,TS208,2,v2,0.47
T1249v2TS375_5,TS375,5,v2,0.469
T1249v2TS375_3,TS375,3,v2,0.468
T1249v2TS375_4,TS375,4,v2,0.468
T1249v1TS167_3,TS167,3,v1,0.465
