Model,Group,Model Number,Model Version,GlobalLDDT
T1239v2TS284_2,TS284,2,v2,0.7076
T1239v1TS163_1,TS163,1,v1,0.7076
T1239v1TS397_1,TS397,1,v1,0.7074
T1239v1TS163_2,TS163,2,v1,0.7073
T1239v2TS148_4,TS148,4,v2,0.7073
T1239v1TS301_2,TS301,2,v1,0.7072
T1239v2TS164_1,TS164,1,v2,0.7071
T1239v2TS287_2,TS287,2,v2,0.7070
T1239v2TS122_3,TS122,3,v2,0.7070
T1239v2TS301_4,TS301,4,v2,0.7070
T1239v1TS122_3,TS122,3,v1,0.7070
T1239v2TS075_4,TS075,4,v2,0.7070
T1239v2TS284_4,TS284,4,v2,0.7070
T1239v2TS112_2,TS112,2,v2,0.7069
T1239v2TS017_3,TS017,3,v2,0.7069
T1239v2TS375_5,TS375,5,v2,0.7069
T1239v2TS475_3,TS475,3,v2,0.7068
T1239v2TS269_5,TS269,5,v2,0.7068
T1239v2TS319_3,TS319,3,v2,0.7062
T1239v2TS331_3,TS331,3,v2,0.7062
T1239v2TS425_3,TS425,3,v2,0.7062
T1239v1TS425_3,TS425,3,v1,0.7062
T1239v1TS331_3,TS331,3,v1,0.7062
T1239v1TS319_3,TS319,3,v1,0.7062
T1239v2TS269_3,TS269,3,v2,0.7062
T1239v2TS475_1,TS475,1,v2,0.7061
T1239v2TS264_1,TS264,1,v2,0.7060
T1239v2TS198_5,TS198,5,v2,0.7059
T1239v2TS269_4,TS269,4,v2,0.7059
T1239v1TS287_1,TS287,1,v1,0.7058
T1239v2TS264_2,TS264,2,v2,0.7057
T1239v1TS287_3,TS287,3,v1,0.7054
T1239v1TS423_2,TS423,2,v1,0.7049
T1239v2TS112_4,TS112,4,v2,0.7048
T1239v2TS017_4,TS017,4,v2,0.7048
T1239v2TS312_1,TS312,1,v2,0.7040
T1239v2TS456_5,TS456,5,v2,0.7033
T1239v1TS375_4,TS375,4,v1,0.7031
T1239v1TS287_2,TS287,2,v1,0.7030
T1239v1TS198_3,TS198,3,v1,0.7029
T1239v1TS286_3,TS286,3,v1,0.7011
T1239v2TS312_3,TS312,3,v2,0.6999
T1239v1TS287_4,TS287,4,v1,0.6996
T1239v1TS112_2,TS112,2,v1,0.6991
T1239v1TS311_4,TS311,4,v1,0.6991
