Model,Group,Model Number,GlobalLDDT
T1214TS132_1,TS132,1,0.4814
T1214TS461_1,TS461,1,0.4792
T1214TS207_5,TS207,5,0.4336
T1214TS207_4,TS207,4,0.4262
T1214TS167_5,TS167,5,0.4058
T1214TS167_1,TS167,1,0.3746
T1214TS450_1,TS450,1,0.3696
T1214TS450_3,TS450,3,0.3687
T1214TS450_4,TS450,4,0.3685
T1214TS167_3,TS167,3,0.3645
T1214TS450_2,TS450,2,0.3510
T1214TS167_4,TS167,4,0.3510
