Model,Group,Model Number,Model Version,GDT_TS
T1228v1TS196_4,TS196,4,v1,0.4485
T1228v2TS475_2,TS475,2,v2,0.4485
T1228v2TS294_3,TS294,3,v2,0.44803
T1228v1TS301_2,TS301,2,v1,0.44803
T1228v2TS274_4,TS274,4,v2,0.44756999999999997
T1228v1TS494_4,TS494,4,v1,0.44756999999999997
T1228v2TS494_4,TS494,4,v2,0.44756999999999997
T1228v1TS274_4,TS274,4,v1,0.44756999999999997
T1228v2TS311_3,TS311,3,v2,0.44662999999999997
T1228v2TS312_2,TS312,2,v2,0.44662999999999997
T1228v1TS208_1,TS208,1,v1,0.44662999999999997
T1228v1TS311_3,TS311,3,v1,0.44662999999999997
T1228v1TS059_3,TS059,3,v1,0.44616
T1228v2TS419_1,TS419,1,v2,0.44616
T1228v1TS419_2,TS419,2,v1,0.44616
T1228v2TS014_5,TS014,5,v2,0.44569000000000003
T1228v2TS014_3,TS014,3,v2,0.44569000000000003
T1228v1TS122_4,TS122,4,v1,0.44569000000000003
T1228v1TS284_4,TS284,4,v1,0.44569000000000003
T1228v2TS221_3,TS221,3,v2,0.44569000000000003
T1228v1TS075_4,TS075,4,v1,0.44569000000000003
T1228v2TS014_6,TS014,6,v2,0.44476
T1228v2TS286_2,TS286,2,v2,0.44476
T1228v2TS287_2,TS287,2,v2,0.44476
T1228v1TS456_5,TS456,5,v1,0.44429
T1228v2TS212_5,TS212,5,v2,0.44429
T1228v2TS456_1,TS456,1,v2,0.44429
T1228v1TS015_5,TS015,5,v1,0.44429
T1228v2TS241_3,TS241,3,v2,0.44429
T1228v2TS212_1,TS212,1,v2,0.44382
T1228v2TS212_3,TS212,3,v2,0.44382
T1228v2TS212_2,TS212,2,v2,0.44382
T1228v2TS274_5,TS274,5,v2,0.44335
T1228v2TS212_4,TS212,4,v2,0.44335
T1228v1TS494_5,TS494,5,v1,0.44335
T1228v2TS494_5,TS494,5,v2,0.44335
T1228v1TS274_5,TS274,5,v1,0.44335
T1228v1TS481_3,TS481,3,v1,0.44287999999999994
T1228v1TS345_4,TS345,4,v1,0.44242
T1228v2TS051_1,TS051,1,v2,0.44242
T1228v1TS221_4,TS221,4,v1,0.44242
T1228v1TS465_2,TS465,2,v1,0.44242
T1228v2TS345_1,TS345,1,v2,0.44242
T1228v1TS051_4,TS051,4,v1,0.44242
T1228v2TS419_5,TS419,5,v2,0.44195
T1228v1TS465_3,TS465,3,v1,0.44195
T1228v2TS489_2,TS489,2,v2,0.44195
T1228v2TS221_5,TS221,5,v2,0.44195
T1228v1TS267_3,TS267,3,v1,0.44148000000000004
T1228v2TS052_1,TS052,1,v2,0.44101
T1228v1TS052_5,TS052,5,v1,0.44101
T1228v2TS475_3,TS475,3,v2,0.44006999999999996
T1228v1TS059_2,TS059,2,v1,0.43866999999999995
T1228v2TS489_5,TS489,5,v2,0.4382
T1228v2TS267_3,TS267,3,v2,0.4382
T1228v2TS196_1,TS196,1,v2,0.43727
T1228v1TS196_1,TS196,1,v1,0.43727
T1228v2TS112_3,TS112,3,v2,0.43633000000000005
T1228v1TS164_1,TS164,1,v1,0.43633000000000005
T1228v1TS145_3,TS145,3,v1,0.43633000000000005
T1228v2TS017_5,TS017,5,v2,0.43633000000000005
T1228v1TS028_4,TS028,4,v1,0.43633000000000005
T1228v1TS017_5,TS017,5,v1,0.43633000000000005
T1228v1TS110_3,TS110,3,v1,0.43633000000000005
T1228v1TS112_4,TS112,4,v1,0.43633000000000005
