Model,Group,Model Number,Model Version,GlobalLDDT
T1228v1TS388_1,TS388,1,v1,0.7390
T1228v2TS033_5,TS033,5,v2,0.7389
T1228v2TS319_1,TS319,1,v2,0.7389
T1228v1TS425_1,TS425,1,v1,0.7389
T1228v2TS019_3,TS019,3,v2,0.7389
T1228v2TS425_2,TS425,2,v2,0.7389
T1228v2TS231_2,TS231,2,v2,0.7389
T1228v1TS264_5,TS264,5,v1,0.7389
T1228v2TS019_4,TS019,4,v2,0.7388
T1228v2TS196_1,TS196,1,v2,0.7388
T1228v1TS196_1,TS196,1,v1,0.7388
T1228v1TS481_1,TS481,1,v1,0.7388
T1228v2TS312_5,TS312,5,v2,0.7387
T1228v1TS462_1,TS462,1,v1,0.7387
T1228v2TS059_1,TS059,1,v2,0.7387
T1228v2TS147_3,TS147,3,v2,0.7387
T1228v1TS110_2,TS110,2,v1,0.7387
T1228v1TS287_5,TS287,5,v1,0.7387
T1228v1TS456_1,TS456,1,v1,0.7386
T1228v2TS456_5,TS456,5,v2,0.7386
T1228v1TS196_2,TS196,2,v1,0.7386
T1228v2TS196_2,TS196,2,v2,0.7386
T1228v2TS331_1,TS331,1,v2,0.7385
T1228v2TS345_4,TS345,4,v2,0.7385
T1228v1TS345_3,TS345,3,v1,0.7385
T1228v1TS319_2,TS319,2,v1,0.7385
T1228v1TS331_2,TS331,2,v1,0.7385
T1228v2TS051_4,TS051,4,v2,0.7385
T1228v1TS051_3,TS051,3,v1,0.7385
T1228v2TS465_2,TS465,2,v2,0.7383
T1228v2TS148_4,TS148,4,v2,0.7383
T1228v2TS319_5,TS319,5,v2,0.7383
T1228v2TS331_5,TS331,5,v2,0.7383
T1228v2TS425_5,TS425,5,v2,0.7383
T1228v1TS425_5,TS425,5,v1,0.7383
T1228v1TS331_5,TS331,5,v1,0.7383
T1228v1TS319_5,TS319,5,v1,0.7383
T1228v2TS148_3,TS148,3,v2,0.7382
T1228v1TS284_5,TS284,5,v1,0.7382
T1228v1TS301_5,TS301,5,v1,0.7382
T1228v1TS425_2,TS425,2,v1,0.7382
T1228v1TS331_3,TS331,3,v1,0.7382
T1228v1TS319_3,TS319,3,v1,0.7382
T1228v2TS264_4,TS264,4,v2,0.7382
T1228v2TS319_3,TS319,3,v2,0.7382
T1228v1TS122_5,TS122,5,v1,0.7382
T1228v2TS331_3,TS331,3,v2,0.7382
T1228v1TS075_5,TS075,5,v1,0.7382
T1228v2TS425_3,TS425,3,v2,0.7382
T1228v1TS301_3,TS301,3,v1,0.7382
T1228v2TS231_1,TS231,1,v2,0.7381
T1228v2TS033_4,TS033,4,v2,0.7381
T1228v2TS052_5,TS052,5,v2,0.7381
T1228v2TS148_5,TS148,5,v2,0.7381
T1228v2TS019_2,TS019,2,v2,0.7381
T1228v2TS375_3,TS375,3,v2,0.7381
T1228v1TS148_1,TS148,1,v1,0.7381
T1228v2TS287_2,TS287,2,v2,0.7381
T1228v2TS231_3,TS231,3,v2,0.7381
T1228v1TS052_1,TS052,1,v1,0.7381
T1228v2TS369_4,TS369,4,v2,0.7380
T1228v1TS369_4,TS369,4,v1,0.7380
T1228v1TS311_5,TS311,5,v1,0.7379
T1228v2TS311_5,TS311,5,v2,0.7379
T1228v1TS147_2,TS147,2,v1,0.7378
T1228v1TS388_4,TS388,4,v1,0.7377
T1228v2TS196_5,TS196,5,v2,0.7377
T1228v1TS059_4,TS059,4,v1,0.7377
T1228v1TS196_5,TS196,5,v1,0.7377
T1228v2TS148_2,TS148,2,v2,0.7376
T1228v1TS312_5,TS312,5,v1,0.7376
T1228v1TS015_5,TS015,5,v1,0.7376
T1228v1TS287_3,TS287,3,v1,0.7376
T1228v1TS312_1,TS312,1,v1,0.7376
T1228v1TS051_6,TS051,6,v1,0.7375
T1228v1TS287_1,TS287,1,v1,0.7375
T1228v1TS312_2,TS312,2,v1,0.7375
T1228v2TS051_6,TS051,6,v2,0.7375
T1228v1TS312_3,TS312,3,v1,0.7375
T1228v2TS148_1,TS148,1,v2,0.7375
T1228v2TS287_1,TS287,1,v2,0.7374
T1228v1TS019_5,TS019,5,v1,0.7374
T1228v1TS375_5,TS375,5,v1,0.7374
T1228v2TS033_1,TS033,1,v2,0.7374
T1228v1TS196_3,TS196,3,v1,0.7374
T1228v2TS019_1,TS019,1,v2,0.7374
T1228v1TS301_2,TS301,2,v1,0.7374
T1228v2TS196_3,TS196,3,v2,0.7374
T1228v2TS294_4,TS294,4,v2,0.7373
T1228v2TS075_1,TS075,1,v2,0.7373
T1228v2TS122_1,TS122,1,v2,0.7373
T1228v2TS301_1,TS301,1,v2,0.7373
T1228v2TS284_1,TS284,1,v2,0.7373
T1228v1TS481_4,TS481,4,v1,0.7373
T1228v1TS481_5,TS481,5,v1,0.7373
T1228v1TS164_1,TS164,1,v1,0.7372
T1228v1TS312_4,TS312,4,v1,0.7371
T1228v1TS267_3,TS267,3,v1,0.7371
T1228v1TS164_2,TS164,2,v1,0.7371
T1228v1TS314_5,TS314,5,v1,0.7371
T1228v1TS059_1,TS059,1,v1,0.7370
T1228v1TS264_2,TS264,2,v1,0.7370
T1228v2TS311_3,TS311,3,v2,0.7370
T1228v1TS311_3,TS311,3,v1,0.7370
T1228v1TS304_3,TS304,3,v1,0.7369
T1228v2TS375_4,TS375,4,v2,0.7369
T1228v1TS033_3,TS033,3,v1,0.7369
T1228v1TS110_1,TS110,1,v1,0.7369
T1228v2TS388_4,TS388,4,v2,0.7369
T1228v2TS369_5,TS369,5,v2,0.7368
T1228v1TS369_5,TS369,5,v1,0.7368
T1228v2TS294_3,TS294,3,v2,0.7368
T1228v1TS311_4,TS311,4,v1,0.7368
T1228v2TS311_4,TS311,4,v2,0.7368
T1228v2TS462_3,TS462,3,v2,0.7368
T1228v2TS312_2,TS312,2,v2,0.7367
T1228v1TS462_3,TS462,3,v1,0.7367
T1228v1TS014_5,TS014,5,v1,0.7366
T1228v2TS375_5,TS375,5,v2,0.7365
T1228v1TS091_4,TS091,4,v1,0.7365
T1228v2TS091_4,TS091,4,v2,0.7365
T1228v2TS294_2,TS294,2,v2,0.7364
T1228v1TS301_4,TS301,4,v1,0.7364
T1228v2TS198_1,TS198,1,v2,0.7363
T1228v2TS023_4,TS023,4,v2,0.7362
T1228v1TS091_5,TS091,5,v1,0.7362
T1228v1TS023_3,TS023,3,v1,0.7362
T1228v1TS023_2,TS023,2,v1,0.7362
T1228v2TS023_5,TS023,5,v2,0.7362
T1228v1TS023_5,TS023,5,v1,0.7362
T1228v2TS023_2,TS023,2,v2,0.7362
T1228v2TS015_2,TS015,2,v2,0.7362
T1228v2TS023_3,TS023,3,v2,0.7362
T1228v1TS033_5,TS033,5,v1,0.7362
T1228v2TS091_5,TS091,5,v2,0.7362
T1228v1TS023_4,TS023,4,v1,0.7362
T1228v2TS489_2,TS489,2,v2,0.7362
T1228v2TS023_1,TS023,1,v2,0.7362
T1228v1TS023_1,TS023,1,v1,0.7362
T1228v1TS235_1,TS235,1,v1,0.7361
T1228v2TS235_1,TS235,1,v2,0.7361
T1228v2TS014_5,TS014,5,v2,0.7361
T1228v1TS241_1,TS241,1,v1,0.7360
T1228v1TS148_5,TS148,5,v1,0.7359
T1228v2TS294_5,TS294,5,v2,0.7359
T1228v1TS284_4,TS284,4,v1,0.7359
T1228v2TS312_4,TS312,4,v2,0.7359
T1228v2TS294_1,TS294,1,v2,0.7359
T1228v1TS075_4,TS075,4,v1,0.7359
T1228v1TS122_4,TS122,4,v1,0.7359
T1228v2TS345_2,TS345,2,v2,0.7358
T1228v1TS284_2,TS284,2,v1,0.7358
T1228v2TS425_1,TS425,1,v2,0.7358
T1228v2TS304_5,TS304,5,v2,0.7358
T1228v2TS241_3,TS241,3,v2,0.7358
T1228v1TS345_2,TS345,2,v1,0.7358
T1228v1TS051_2,TS051,2,v1,0.7358
T1228v1TS075_2,TS075,2,v1,0.7358
T1228v1TS425_3,TS425,3,v1,0.7358
T1228v2TS331_4,TS331,4,v2,0.7358
T1228v2TS419_3,TS419,3,v2,0.7358
T1228v1TS122_2,TS122,2,v1,0.7358
T1228v2TS319_4,TS319,4,v2,0.7358
T1228v1TS319_4,TS319,4,v1,0.7358
T1228v1TS331_4,TS331,4,v1,0.7358
T1228v2TS051_2,TS051,2,v2,0.7358
